프레임번호,타임스탐프_초,단순분류,정상확률,포트홀확률,신뢰도,CP클래스,CP클래스번호,파일경로
248,12.412400574313372,정상,0.4952,0.5048,0.5048,애매한 포트홀,2,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000248_12.412s.jpg
249,12.462450576629152,정상,0.4910,0.5090,0.5090,애매한 포트홀,2,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000249_12.462s.jpg
250,12.51250057894493,정상,0.5586,0.4414,0.5586,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000250_12.513s.jpg
251,12.56255058126071,정상,0.5936,0.4064,0.5936,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000251_12.563s.jpg
252,12.61260058357649,정상,0.5962,0.4038,0.5962,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000252_12.613s.jpg
253,12.66265058589227,정상,0.5540,0.4460,0.5540,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000253_12.663s.jpg
254,12.71270058820805,정상,0.5635,0.4365,0.5635,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000254_12.713s.jpg
255,12.76275059052383,정상,0.6162,0.3838,0.6162,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000255_12.763s.jpg
256,12.81280059283961,정상,0.6183,0.3817,0.6183,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000256_12.813s.jpg
257,12.86285059515539,정상,0.5997,0.4003,0.5997,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000257_12.863s.jpg
258,12.912900597471168,정상,0.6165,0.3835,0.6165,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000258_12.913s.jpg
259,12.962950599786948,정상,0.6157,0.3843,0.6157,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000259_12.963s.jpg
260,13.013000602102728,정상,0.6265,0.3735,0.6265,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000260_13.013s.jpg
261,13.063050604418509,정상,0.5709,0.4291,0.5709,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000261_13.063s.jpg
262,13.113100606734287,정상,0.5283,0.4717,0.5283,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000262_13.113s.jpg
263,13.163150609050067,정상,0.5305,0.4695,0.5305,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000263_13.163s.jpg
264,13.213200611365847,정상,0.5287,0.4713,0.5287,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000264_13.213s.jpg
265,13.263250613681627,정상,0.4995,0.5005,0.5005,애매한 포트홀,2,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000265_13.263s.jpg
266,13.313300615997406,정상,0.5842,0.4158,0.5842,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000266_13.313s.jpg
267,13.363350618313186,정상,0.6411,0.3589,0.6411,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000267_13.363s.jpg
268,13.413400620628966,정상,0.6414,0.3586,0.6414,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000268_13.413s.jpg
269,13.463450622944746,정상,0.5852,0.4148,0.5852,애매한 정상,1,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000269_13.463s.jpg
270,13.513500625260525,정상,0.6079,0.3921,0.6079,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000270_13.514s.jpg
271,13.563550627576305,정상,0.6162,0.3838,0.6162,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000271_13.564s.jpg
272,13.613600629892085,정상,0.6138,0.3862,0.6138,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000272_13.614s.jpg
273,13.663650632207865,정상,0.6483,0.3517,0.6483,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000273_13.664s.jpg
274,13.713700634523644,정상,0.6455,0.3545,0.6455,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000274_13.714s.jpg
275,13.763750636839424,정상,0.6387,0.3613,0.6387,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000275_13.764s.jpg
276,13.813800639155204,정상,0.6292,0.3708,0.6292,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000276_13.814s.jpg
277,13.863850641470984,정상,0.6318,0.3682,0.6318,명확한 정상,0,C:\Users\daeseong\Desktop\pothole-pipeline\sample_maker\temp_frames\frame_000277_13.864s.jpg
